,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
10215,2019,4036592,Tyler Lamm,TE,Louisiana Monroe,Sun Belt,9,1.075,1.075,NA,0.525,1.464,1.55,0.964,1.464,9.679,9.679,NA,2.1,2.928,4.651,6.751,2.928
10237,2019,4428209,Ricky Pearsall,WR,Arizona State,Pac-12,9,1.115,1.27,-0.123,1.258,-0.158,1.998,0.844,1.454,10.037,10.16,-0.123,2.516,-0.473,7.994,4.222,5.815
10264,2019,4240819,Kade Warner,WR,Nebraska,Big Ten,9,1.185,1.185,NA,-0.255,0.953,3.307,-0.086,2.203,10.669,10.669,NA,-0.764,2.859,6.614,-0.346,11.015
10323,2019,4046564,Wykeen Akie Gill,WR,Kansas State,Big 12,9,1.358,1.358,NA,0.741,2.779,2.215,1.014,2.561,12.218,12.218,NA,4.446,5.557,2.215,7.095,5.123
10333,2019,4569995,Derek Wright,WR,Utah State,Mountain West,9,1.401,1.401,NA,NA,1.164,1.875,0.449,2.162,12.608,12.608,NA,NA,6.983,5.626,1.797,10.811
10343,2019,4372505,Payne Durham,TE,Purdue,Big Ten,9,1.469,1.469,NA,0.68,1.058,2.093,0.956,2.11,13.221,13.221,NA,2.04,2.117,6.279,4.781,8.44
10355,2019,4243755,Ryan Mitchell,WR,Navy,American Athletic,9,1.581,1.581,NA,2.287,0.478,3.169,1.412,1.919,14.23,14.23,NA,9.147,1.914,3.169,8.473,5.757
10367,2019,4039301,Courtney Lark,WR,Houston,American Athletic,9,1.646,1.646,NA,1.935,1.621,1.52,1.173,2.024,14.813,14.813,NA,3.87,4.862,6.081,4.693,10.121
10392,2019,4258412,Perry Carter,WR,Louisiana Monroe,Sun Belt,9,1.916,1.916,NA,2.727,2.124,0.697,2.727,1.268,17.246,17.246,NA,10.907,4.248,2.092,10.907,6.34
56,2013,550169,Dalyn Dawkins,RB,Purdue,Big Ten,8,1.065,1.065,NA,0.402,0.999,1.771,1.259,0.741,8.516,8.516,NA,1.205,1.997,5.314,6.295,2.222
58,2013,546463,Cameron Smith,WR,Arizona State,Pac-12,8,1.169,1.169,NA,0.902,1.435,NA,0.902,1.435,9.351,9.351,NA,3.609,5.742,NA,3.609,5.742
114,2014,552777,Kylen Towner,WR,Western Kentucky,Conference USA,8,-0.148,NA,-0.148,-0.018,-0.538,NA,-0.018,-0.538,-1.183,NA,-1.183,-0.107,-1.076,NA,-0.107,-1.076
123,2014,3116456,William Crest Jr.,WR,West Virginia,Big 12,8,-0.107,-0.69,0.864,0.207,-0.251,-0.934,0.123,-1.717,-0.857,-3.45,2.592,0.829,-0.752,-0.934,0.86,-1.717
140,2014,3124613,Wyatt Demps,WR,Nevada,Mountain West,8,-0.052,-0.052,NA,0.919,-0.327,-0.129,-0.089,0.011,-0.413,-0.413,NA,1.837,-0.327,-0.388,-0.444,0.032
231,2014,3122430,Chris Lacy,WR,Oklahoma State,Big 12,8,0.155,0.155,NA,-0.001,-0.638,1.261,-0.227,0.792,1.243,1.243,NA,-0.004,-1.275,2.523,-1.135,2.377
288,2014,545727,Andrew Tucker,RB,North Texas,Conference USA,8,0.282,NA,0.282,-0.387,-0.012,1.148,-0.122,0.687,2.259,NA,2.259,-1.162,-0.023,3.445,-0.488,2.747
307,2014,545682,A.J. Erdely,QB,Middle Tennessee,Conference USA,8,0.321,-0.404,0.425,-0.266,0.943,-0.404,0.425,-0.404,2.571,-0.404,2.975,-0.798,3.773,-0.404,2.975,-0.404
311,2014,545487,Ben Johnson,TE,Kansas,Big 12,8,0.334,0.334,NA,0.428,0.293,0.188,0.522,0.022,2.674,2.674,NA,1.713,0.585,0.375,2.609,0.065
334,2014,3123935,Adonis Jennings,WR,Pittsburgh,ACC,8,0.401,0.401,NA,0.023,-0.043,3.115,0.023,1.536,3.208,3.208,NA,0.136,-0.043,3.115,0.136,3.072
387,2014,549975,Nathan Marcus,TE,Vanderbilt,SEC,8,0.654,0.654,NA,-0.906,0.807,NA,0.182,2.07,5.23,5.23,NA,-1.813,4.036,NA,1.09,4.14
430,2014,546689,Thomas Lucas,WR,Connecticut,American Athletic,8,0.904,0.904,NA,0.657,-0.007,3.96,0.657,1.316,7.233,7.233,NA,3.286,-0.013,3.96,3.286,3.947
495,2015,3139381,Keaton Perry,WR,Kansas,Big 12,8,-0.681,-0.37,-1.612,-0.201,-0.162,-0.266,-0.796,-0.334,-5.447,-2.222,-3.225,-0.604,-0.485,-0.266,-4.779,-0.668
501,2015,3122424,Taylor Cornelius,QB,Oklahoma State,Big 12,8,-0.566,-0.836,1.318,-1.252,-0.217,0.455,-0.836,1.318,-4.532,-5.85,1.318,-5.008,-0.434,0.911,-5.85,1.318
521,2015,3929856,Kirk Johnson,RB,Texas,Big 12,8,-0.361,-1.015,-0.267,-0.183,-0.538,NA,-0.32,-0.484,-2.885,-1.015,-1.871,-0.733,-2.152,NA,-1.918,-0.967
589,2015,3930295,Deltron Sands,RB,Oregon State,Pac-12,8,-0.079,-0.464,0.049,-0.394,0.286,-0.596,-0.066,-0.101,-0.634,-0.928,0.295,-1.183,1.145,-0.596,-0.332,-0.302
782,2015,551063,Jordan Chunn,RB,Troy,Sun Belt,8,0.137,-0.453,0.221,-0.453,0.351,-0.558,-0.014,0.389,1.096,-0.453,1.549,-0.453,2.106,-0.558,-0.072,1.168
800,2015,3138838,Trey Dye,WR,BYU,FBS Independents,8,0.149,1.23,-0.933,-0.277,-0.433,3.598,-0.475,2.021,1.189,4.92,-3.731,-1.109,-1.3,3.598,-2.853,4.041
806,2015,548438,Levi Duffield,TE,Appalachian State,Sun Belt,8,0.157,0.157,NA,0.276,-0.04,NA,0.157,NA,1.258,1.258,NA,1.379,-0.121,NA,1.258,NA
874,2015,3120057,Chris Montgomery,WR,Charlotte,Conference USA,8,0.212,-0.177,0.859,-0.11,0.321,0.426,-0.301,0.725,1.693,-0.884,2.577,-0.33,0.321,1.702,-1.205,2.898
890,2015,3915145,Kirk Merritt,WR,Oregon,Pac-12,8,0.232,0.473,-0.49,-0.09,0.324,2.075,0.232,NA,1.856,2.837,-0.981,-0.543,0.324,2.075,1.856,NA
893,2015,3128414,Darius Durall,RB,SMU,American Athletic,8,0.233,-0.097,0.562,-0.424,0.346,0.977,0.488,-0.535,1.861,-0.389,2.249,-0.849,1.732,0.977,2.931,-1.07
928,2015,3122117,Ray Wingo,WR,Missouri,SEC,8,0.276,0.498,-0.389,-0.224,2.068,0.63,-0.224,1.11,2.209,2.986,-0.777,-1.12,2.068,1.261,-1.12,3.329
1084,2015,559650,Elijah Staley,QB,Mississippi State,SEC,8,0.451,0.422,0.498,0.982,0.498,-0.418,0.557,0.344,3.605,2.111,1.494,2.947,1.494,-0.836,2.23,1.375
1148,2015,3121162,B.J. Farrow,WR,Liberty,FBS Independents,8,0.562,0.562,NA,1.574,0.985,-0.339,0.657,0.404,4.495,4.495,NA,1.574,3.939,-1.017,3.283,1.212
1190,2015,3116732,Cole Cook,TE,NC State,ACC,8,0.636,0.636,NA,0.658,0.105,0.557,0.302,1.194,5.089,5.089,NA,1.317,0.421,0.557,1.508,3.581
1211,2015,3914399,Matt Domer,RB,Bowling Green,Mid-American,8,0.672,NA,0.672,3.167,0.058,-0.377,3.167,-0.16,5.376,NA,5.376,6.335,0.173,-1.132,6.335,-0.959
1259,2015,3125358,Zach Van Leeuwen,WR,Utah State,Mountain West,8,0.79,0.79,NA,1.139,-0.598,NA,0.394,3.558,6.317,6.317,NA,4.555,-1.795,NA,2.76,3.558
1261,2015,3136308,George Aston,FB,Pittsburgh,ACC,8,0.793,0.793,NA,0.929,-0.84,2.154,0.816,0.723,6.343,6.343,NA,3.714,-1.68,4.309,4.897,1.446
1267,2015,3125107,Andrew Beck,TE,Texas,Big 12,8,0.807,0.807,NA,-0.058,0.526,1.092,0.863,0.713,6.452,6.452,NA,-0.058,1.052,5.459,4.314,2.138
1318,2015,3917555,Ari Werts,TE,Georgia State,Sun Belt,8,1.006,1.006,NA,0.127,1.182,1.417,0.49,1.316,8.049,8.049,NA,0.253,3.545,4.251,1.471,6.579
1321,2015,3116665,Javonte Bagley,WR,Louisville,ACC,8,1.036,1.036,NA,1.338,-0.785,1.795,0.599,1.473,8.286,8.286,NA,2.677,-1.569,7.179,2.394,5.892
1350,2015,549942,Gavin Locklear,WR,NC State,ACC,8,1.319,1.319,NA,0.461,1.464,1.633,0.795,1.633,10.55,10.55,NA,0.922,1.464,8.164,2.386,8.164
1387,2015,3116375,Dimitri Flowers,FB,Oklahoma,Big 12,8,2.122,2.122,NA,2.056,1.906,2.468,2.057,2.315,16.972,16.972,NA,8.223,3.812,4.937,12.343,4.629
1442,2016,3895828,Anthony Ratliff-Williams,WR,North Carolina,ACC,8,-0.569,-0.292,-1.402,-0.533,-0.593,-0.551,-0.533,-0.575,-4.555,-1.751,-2.805,-0.533,-2.371,-1.652,-0.533,-4.023
1450,2016,3123790,LaBaron Anthony,QB,Georgia Southern,Sun Belt,8,-0.512,-1.405,0.023,-1.064,-0.528,-0.13,-0.561,-0.464,-4.1,-4.215,0.115,-2.128,-1.583,-0.389,-2.242,-1.858
1492,2016,552837,Shakur Nesmith,WR,UMass,FBS Independents,8,-0.296,-0.296,NA,-0.546,1.457,NA,-0.296,NA,-2.366,-2.366,NA,-3.824,1.457,NA,-2.366,NA
1495,2016,3917810,TaQuon Marshall,QB,Georgia Tech,ACC,8,-0.289,-1.386,0.077,-0.097,-0.689,-0.18,-0.243,-0.366,-2.31,-2.772,0.462,-0.29,-1.378,-0.361,-1.213,-1.097
1499,2016,3116659,Charles Standberry,TE,Louisville,ACC,8,-0.284,-0.284,NA,0.053,-0.369,1.125,-0.063,-0.505,-2.275,-2.275,NA,0.16,-0.738,2.251,-0.253,-2.022
1571,2016,3916725,Tom Flacco,QB,Western Michigan,Mid-American,8,-0.13,-1.162,0.017,1.045,-0.63,0.017,0.27,-0.797,-1.041,-1.162,0.121,2.09,-3.148,0.017,1.35,-2.39
1591,2016,3929944,Deshawn McClease,RB,Virginia Tech,ACC,8,-0.1,NA,-0.1,-0.109,-0.399,0.828,-0.169,0.105,-0.803,NA,-0.803,-0.435,-1.196,0.828,-1.013,0.21
1625,2016,4038713,Trevon Sands,RB,South Florida,American Athletic,8,-0.047,NA,-0.047,-0.378,-0.382,0.951,-0.147,0.658,-0.373,NA,-0.373,-1.511,-0.764,1.902,-1.031,0.658
1680,2016,4033822,Dominic Thieman,WR,Illinois,Big Ten,8,0.007,0.007,NA,-0.454,0.967,-1.026,-0.004,0.042,0.06,0.06,NA,-1.815,2.901,-1.026,-0.024,0.084
1695,2016,3133566,Charles Walker,WR,Kentucky,SEC,8,0.026,0.026,NA,-0.445,-0.121,0.953,-0.463,0.841,0.207,0.207,NA,-1.334,-0.364,1.906,-2.316,2.523
1823,2016,3124521,Marcus Wilson,WR,Colorado State,Mountain West,8,0.105,0.105,NA,NA,-0.386,-0.305,NA,0.105,0.837,0.837,NA,NA,-0.386,-1.829,NA,0.837
1895,2016,550696,Mason Morgan,TE,Ohio,Mid-American,8,0.141,0.141,NA,0.106,0.257,-0.217,0.435,-0.349,1.129,1.129,NA,0.319,1.027,-0.217,2.177,-1.048
1980,2016,3863801,Billy McCrary III,RB,California,Pac-12,8,0.189,-0.282,0.347,0.157,0.222,NA,0.491,-0.716,1.516,-0.564,2.08,0.627,0.888,NA,2.948,-1.432
1985,2016,4035848,Jordan Duncan,WR,California,Pac-12,8,0.191,0.191,NA,0.276,0.547,-0.944,0.354,-0.944,1.532,1.532,NA,1.382,1.094,-0.944,2.476,-0.944
2056,2016,4038460,Dillon Stoner,WR,Oklahoma State,Big 12,8,0.233,0.233,NA,-0.607,-1.617,1.555,0.074,0.498,1.866,1.866,NA,-2.429,-1.617,3.111,0.372,1.494
2097,2016,550006,Quan Jones,WR,Baylor,Big 12,8,0.257,0.257,NA,0.388,-1.15,0.63,0.132,0.63,2.053,2.053,NA,1.941,-1.15,1.261,0.792,1.261
2109,2016,4039389,Emmanuel Harris,WR,New Mexico,Mountain West,8,0.264,0.345,-0.3,-0.562,0.062,2.431,-0.562,1.641,2.114,2.414,-0.3,-2.81,0.062,4.862,-2.81,4.924
2114,2016,3916268,Anthony Gargiulo,FB,Navy,American Athletic,8,0.266,NA,0.266,-0.004,-0.451,1.746,0.266,NA,2.129,NA,2.129,-0.011,-1.353,3.493,2.129,NA
2186,2016,4035792,A.J. Taylor,WR,Wisconsin,Big Ten,8,0.314,0.905,-0.276,0.089,0.088,0.69,0.089,0.389,2.513,3.618,-1.105,0.178,0.265,2.07,0.178,2.336
2197,2016,546706,Shane Morris,QB,Michigan,Big Ten,8,0.322,0.674,-0.263,-0.596,0.852,2.407,0.004,0.852,2.578,3.368,-0.789,-2.386,2.557,2.407,0.021,2.557
2211,2016,3895838,Nathan Elliott,QB,North Carolina,ACC,8,0.329,0.382,-0.048,-0.533,-0.324,1.034,1.016,0.1,2.629,2.677,-0.048,-0.533,-0.973,4.135,2.032,0.597
2220,2016,3122133,Frank Iheanacho,WR,Texas A&M,SEC,8,0.334,0.334,NA,0.018,-0.843,1.146,-0.188,1.897,2.668,2.668,NA,0.072,-0.843,3.439,-1.126,3.794
2255,2016,4040784,Josh Aganon,WR,New Mexico State,FBS Independents,8,0.363,0.363,NA,0.402,0.34,NA,0.259,0.673,2.903,2.903,NA,1.205,1.698,NA,1.556,1.346
2384,2016,3914344,Travis Reynolds,TE,UMass,FBS Independents,8,0.46,0.46,NA,0.294,2.485,-0.571,0.171,2.485,3.678,3.678,NA,1.765,2.485,-0.571,1.194,2.485
2416,2016,3122763,Marcus Gaines,WR,Louisiana Tech,Conference USA,8,0.483,0.483,NA,0.925,0.592,-0.946,0.958,0.008,3.866,3.866,NA,1.851,2.962,-0.946,3.833,0.033
2462,2016,4036418,Corey Xavier Sutton,WR,Kansas State,Big 12,8,0.524,0.524,NA,-0.106,0.533,-0.667,-0.106,0.735,4.195,4.195,NA,-0.213,1.6,-1.333,-0.213,4.408
2488,2016,4042807,Trevon Bradford,WR,Oregon State,Pac-12,8,0.55,0.633,-0.026,1.231,0.194,0.582,0.719,0.382,4.403,4.429,-0.026,2.462,0.778,1.163,2.875,1.528
2527,2016,3139468,Ja'Deion High,WR,Texas Tech,Big 12,8,0.581,0.581,NA,-0.19,1.316,NA,0.581,NA,4.65,4.65,NA,-0.569,5.266,NA,4.65,NA
2591,2016,4046565,Isaiah Harris,WR,Kansas State,Big 12,8,0.648,0.648,NA,-0.031,0.1,1.692,0.465,1.195,5.181,5.181,NA,-0.094,0.201,5.075,2.792,2.389
2645,2016,3918399,Ismail Saleem,WR,Troy,Sun Belt,8,0.728,0.728,NA,1.326,-0.068,1.022,0.975,-1.004,5.82,5.82,NA,3.979,-0.203,2.045,6.825,-1.004
2648,2016,4035793,Quintez Cephus,WR,Wisconsin,Big Ten,8,0.73,1.445,0.301,1.265,-0.264,0.041,0.762,0.632,5.836,4.334,1.503,6.323,-0.528,0.041,4.572,1.264
2704,2016,3921681,Bailey Gaither,WR,San José State,Mountain West,8,0.81,0.826,0.784,-0.444,1.828,3.438,0.149,2.794,6.483,4.131,2.352,-2.221,1.828,6.876,0.894,5.588
2739,2016,550501,Jordan Smallwood,WR,Oklahoma,Big 12,8,0.879,0.808,1.375,0.679,0.771,1.079,1.14,0.618,7.032,5.658,1.375,1.358,2.314,2.158,4.56,2.472
2740,2016,3915760,Sam Dobbs,TE,Vanderbilt,SEC,8,0.88,0.968,0.615,1.249,1.325,-0.342,0.806,1.002,7.036,5.806,1.23,3.746,3.974,-0.683,4.032,3.005
2786,2016,3126033,Ezra Saffold,WR,Northern Illinois,Mid-American,8,0.994,0.987,1.005,-0.157,1.201,3.619,0.529,1.459,7.953,4.936,3.016,-0.472,4.806,3.619,2.116,5.837
2788,2016,4036189,Thaddeus Moss,TE,NC State,ACC,8,1,1,NA,-0.076,1.895,2.625,0.686,3.2,8.003,8.003,NA,-0.306,5.684,2.625,4.803,3.2
2803,2016,3886611,Kyle Penniston,TE,Wisconsin,Big Ten,8,1.045,1.045,NA,0.792,1.328,1.11,0.951,1.328,8.362,8.362,NA,2.377,2.656,3.329,5.706,2.656
2804,2016,3914501,Kelvin Smith,TE,North Texas,Conference USA,8,1.049,1.049,NA,1.225,0.925,0.955,1.321,0.596,8.391,8.391,NA,3.675,1.85,2.865,6.603,1.788
2841,2016,3122117,Ray Wingo,WR,Missouri,SEC,8,1.18,1.18,NA,1.299,NA,1.437,1.299,0.98,9.437,9.437,NA,6.497,NA,2.873,6.497,2.94
2861,2016,3125185,Tyler Carmona,WR,Navy,American Athletic,8,1.26,1.26,NA,0.588,0.48,3.153,0.989,3.153,10.079,10.079,NA,2.938,0.48,3.153,6.926,3.153
2862,2016,3929953,Chris Cunningham,TE,Virginia Tech,ACC,8,1.268,1.268,NA,1.148,2.374,-0.345,1.143,2.141,10.144,10.144,NA,5.741,4.748,-0.345,8.003,2.141
2899,2016,3124822,Jordan Feuerbacher,TE,Baylor,Big 12,8,1.624,1.624,NA,0.285,0.851,3.102,0.949,2.029,12.992,12.992,NA,0.285,3.403,9.305,2.848,10.144
3001,2017,3917009,Will Hefley III,QB,Tulsa,American Athletic,8,-0.807,-0.807,NA,-2.105,0.151,-0.479,-2.105,-0.374,-6.455,-6.455,NA,-4.21,0.151,-2.396,-4.21,-2.245
3027,2017,550203,Grant Niemiec,RB,Miami (OH),Mid-American,8,-0.562,NA,-0.562,-0.698,-0.716,-0.117,-0.726,-0.288,-4.493,NA,-4.493,-1.395,-2.863,-0.234,-3.629,-0.863
3038,2017,3917848,Evan Shirreffs,QB,Miami,ACC,8,-0.485,-0.485,NA,-0.331,-0.716,-0.37,-0.331,-0.577,-3.88,-3.88,NA,-0.993,-2.147,-0.741,-0.993,-2.887
3078,2017,4259273,Kameron Duncan,RB,Charlotte,Conference USA,8,-0.366,NA,-0.366,-0.426,-0.338,-0.212,-0.475,-0.184,-2.928,NA,-2.928,-1.703,-1.013,-0.212,-2.375,-0.553
3079,2017,4258200,O'Maury Samuels,RB,Michigan,Big Ten,8,-0.366,NA,-0.366,-0.399,-0.269,-0.461,-0.481,-0.173,-2.925,NA,-2.925,-1.196,-0.806,-0.922,-2.406,-0.518
3107,2017,4049293,Kameron Pickett,RB,Buffalo,Mid-American,8,-0.296,0.446,-0.402,-0.236,-0.473,NA,-0.296,NA,-2.365,0.446,-2.811,-1.418,-0.946,NA,-2.365,NA
3135,2017,4038226,Freddie Holly III,RB,Hawai'i,Mountain West,8,-0.236,NA,-0.236,-0.219,-0.776,1.312,-0.169,-0.707,-1.891,NA,-1.891,-0.876,-2.327,1.312,-1.184,-0.707
3211,2017,3915427,Patrick Carr,RB,Houston,American Athletic,8,-0.128,-0.146,-0.125,-0.548,-0.025,1.246,-0.182,0.035,-1.022,-0.146,-0.877,-2.193,-0.075,1.246,-1.093,0.071
3223,2017,3128748,D.K. Buford,RB,Ole Miss,SEC,8,-0.111,NA,-0.111,-0.264,-0.257,0.336,-0.102,-0.178,-0.889,NA,-0.889,-0.791,-0.771,0.673,-0.712,-0.178
3247,2017,4049845,Chad Woolsey,FB,San Diego State,Mountain West,8,-0.094,NA,-0.094,0.183,-0.556,NA,0.127,-0.756,-0.752,NA,-0.752,0.916,-1.667,NA,0.76,-1.512
3263,2017,3910404,Frankie Hickson,RB,Liberty,FBS Independents,8,-0.08,NA,-0.08,-0.123,-0.726,-0.038,-0.086,-0.038,-0.637,NA,-0.637,-0.493,-1.452,-0.038,-0.599,-0.038
3338,2017,4261169,Zahneer Shuler,TE,New Mexico,Mountain West,8,-0.029,0.408,-1.342,2.392,1.234,-0.253,-1.094,1.035,-0.235,2.448,-2.683,2.392,2.468,-1.012,-4.375,4.14
3343,2017,3921684,Jeremy Kelly,WR,San José State,Mountain West,8,-0.025,-0.025,NA,-0.037,-0.873,0.334,0.449,-0.499,-0.2,-0.2,NA,-0.11,-0.873,1.001,1.794,-1.994
3350,2017,3126196,Romello Brooker,TE,Houston,American Athletic,8,-0.022,-0.022,NA,0.516,-0.141,-0.651,0.516,-0.345,-0.178,-0.178,NA,1.548,-0.424,-1.302,1.548,-1.726
3428,2017,4038192,Malik Miller,RB,Air Force,Mountain West,8,0.02,-0.491,0.093,-0.564,0.604,NA,0.046,-0.165,0.16,-0.491,0.651,-2.255,2.415,NA,0.325,-0.165
3573,2017,4241961,Connor Heyward,RB,Michigan State,Big Ten,8,0.079,0.26,-0.223,-0.223,-0.331,0.655,-0.4,0.878,0.632,1.302,-0.67,-0.67,-0.661,1.964,-2.002,2.634
3756,2017,4262183,Kailon Carter,WR,UAB,Conference USA,8,0.146,0.026,0.267,0.173,-0.58,2.22,0.198,-0.216,1.171,0.102,1.069,0.691,-1.741,2.22,1.387,-0.216
3856,2017,4036030,Scott Bracey,WR,Duke,ACC,8,0.186,0.186,NA,0.499,0.534,-0.808,0.554,-0.428,1.485,1.485,NA,1.498,1.602,-1.616,2.768,-1.284
3878,2017,4036835,Parker Houston,TE,San Diego State,Mountain West,8,0.192,0.192,NA,0.06,0.091,0.391,0.446,-0.232,1.533,1.533,NA,0.179,0.181,1.172,2.229,-0.697
4001,2017,3915287,Conor Brumfield,TE,Kent State,Mid-American,8,0.236,0.236,NA,0.293,NA,0.063,0.293,0.063,1.884,1.884,NA,1.759,NA,0.126,1.759,0.126
4155,2017,3124661,Patrick Reed,WR,New Mexico,Mountain West,8,0.296,0.296,NA,-0.995,0.722,0.747,0.061,0.531,2.368,2.368,NA,-1.99,3.612,0.747,0.245,2.123
4268,2017,4259423,Marcalas Johnson,WR,SMU,American Athletic,8,0.346,NA,0.346,-0.098,-0.288,1.964,0.211,0.753,2.77,NA,2.77,-0.293,-0.865,3.928,1.264,1.506
4282,2017,3728291,Jonathan Femi-Cole,RB,Minnesota,Big Ten,8,0.353,NA,0.353,-0.182,-0.567,1.629,0.021,0.905,2.822,NA,2.822,-0.545,-1.135,3.258,0.106,2.716
4407,2017,3909123,Rashad Medaris,WR,Cincinnati,American Athletic,8,0.411,0.411,NA,0.339,0.033,2.138,0.355,0.578,3.287,3.287,NA,1.016,0.133,2.138,2.131,1.156
4421,2017,3929914,Adam Prentice,FB,Colorado State,Mountain West,8,0.417,0.417,NA,0.637,-0.078,2.454,0.635,0.055,3.338,3.338,NA,1.274,-0.39,2.454,3.173,0.164
4490,2017,546339,Uriah LeMay,WR,Charlotte,Conference USA,8,0.452,0.452,NA,0.909,0.423,0.178,0.636,0.343,3.619,3.619,NA,1.819,1.268,0.533,1.907,1.713
4506,2017,4241225,R.J. Sneed,WR,Baylor,Big 12,8,0.456,0.456,NA,0.077,0.442,-0.774,-0.254,0.882,3.649,3.649,NA,0.077,1.77,-1.549,-0.762,4.411
4563,2017,3912571,Kyle Fulks,WR,Utah,Pac-12,8,0.485,0.794,0.299,0.725,0.085,NA,0.645,0.005,3.879,2.382,1.496,3.623,0.256,NA,3.868,0.01
4581,2017,4044099,Donovan Williams,TE,Connecticut,American Athletic,8,0.496,-0.305,0.61,-0.004,NA,1.33,0.496,NA,3.968,-0.305,4.273,-0.021,NA,3.989,3.968,NA
4603,2017,547728,Cole Hunt,TE,TCU,Big 12,8,0.508,0.508,NA,0.359,0.302,1.013,0.585,-0.032,4.067,4.067,NA,1.436,0.604,2.026,4.098,-0.032
4611,2017,549947,Dakwa Nichols,RB,NC State,ACC,8,0.514,0.843,0.467,0.467,0.843,NA,0.467,0.843,4.111,0.843,3.268,3.268,0.843,NA,3.268,0.843
4615,2017,3916653,Bryce Kemp,TE,Eastern Michigan,Mid-American,8,0.515,0.515,NA,1.365,-0.597,0.449,0.688,-0.694,4.119,4.119,NA,5.461,-1.791,0.449,4.813,-0.694
4699,2017,4259359,Colin Wilson,RB,Louisville,ACC,8,0.56,0.327,0.638,0.576,0.694,1.171,0.695,-0.38,4.483,0.654,3.828,2.302,1.389,1.171,4.862,-0.38
4859,2017,3916305,Tre Walker,TE,Navy,American Athletic,8,0.672,-1.013,0.913,-0.022,2.117,0.615,0.45,1.043,5.378,-1.013,6.391,-0.086,4.234,1.23,2.248,3.13
4865,2017,4036863,Billy Humphreys,TE,San José State,Mountain West,8,0.68,0.68,NA,-0.124,0.814,0.041,0.345,1.016,5.444,5.444,NA,-0.371,0.814,0.081,1.38,4.064
4875,2017,4035638,Jesse Brown,RB,Northwestern,Big Ten,8,0.688,NA,0.688,0.778,0.968,0.037,1.368,-0.446,5.5,NA,5.5,1.556,3.871,0.073,6.839,-1.339
4904,2017,3895835,Jake Bargas,TE,North Carolina,ACC,8,0.71,0.71,NA,0.467,0.988,0.659,0.867,0.45,5.684,5.684,NA,1.4,2.965,1.319,4.335,1.349
4918,2017,4036676,Darion Anderson,WR,Georgia Southern,Sun Belt,8,0.721,0.721,NA,0.553,0.644,NA,0.773,0.565,5.765,5.765,NA,1.658,2.576,NA,4.636,1.13
4921,2017,545481,Nate Wozniak,TE,Minnesota,Big Ten,8,0.724,0.724,NA,1.016,1.244,-0.61,1.016,0.626,5.79,5.79,NA,2.031,4.978,-1.219,2.031,3.758
4955,2017,4240034,D.J. Matthews,WR,Florida State,ACC,8,0.755,0.755,NA,0.679,0.515,1.313,0.679,0.781,6.043,6.043,NA,1.357,2.061,2.625,1.357,4.686
4994,2017,3125891,Alec Bloom,TE,Connecticut,American Athletic,8,0.798,0.798,NA,1.013,-0.208,1.372,0.921,0.593,6.381,6.381,NA,4.052,-0.415,2.744,4.603,1.778
5042,2017,3914446,Ruben Garnett,WR,Middle Tennessee,Conference USA,8,0.849,0.566,2.829,-1.246,1.181,1.736,1.208,-0.226,6.795,3.965,2.829,-2.492,4.722,1.736,7.246,-0.451
5049,2017,3124822,Jordan Feuerbacher,TE,Baylor,Big 12,8,0.858,0.858,NA,0.791,0.609,1.689,1.007,-0.188,6.861,6.861,NA,3.955,1.217,1.689,7.049,-0.188
5060,2017,3916624,Dieuly Aristilde,WR,Eastern Michigan,Mid-American,8,0.874,0.874,NA,0.666,0.215,2.172,0.68,1.196,6.99,6.99,NA,1.999,0.646,4.345,3.401,3.589
5080,2017,3120351,Rahshead Johnson,WR,San José State,Mountain West,8,0.902,0.902,NA,-0.444,1.915,1.402,0.676,1.278,7.216,7.216,NA,-1.332,5.744,2.803,3.381,3.835
5084,2017,4245131,Tim Jones,WR,Southern Mississippi,Conference USA,8,0.909,0.909,NA,1.442,0.149,0.884,1.414,0.069,7.276,7.276,NA,4.325,0.298,2.653,7.069,0.206
5133,2017,3128741,Markell Pack,WR,Ole Miss,SEC,8,0.991,0.991,NA,0.332,0.637,1.498,0.426,1.33,7.93,7.93,NA,0.664,1.274,5.992,1.278,6.652
5199,2017,4038961,Cam McCormick,TE,Oregon,Pac-12,8,1.135,1.135,NA,0.371,0.825,4.211,0.828,2.053,9.077,9.077,NA,0.743,4.123,4.211,4.97,4.106
5208,2017,3925348,Hale Hentges,TE,Alabama,SEC,8,1.16,1.16,NA,1.02,1.393,NA,1.16,NA,9.277,9.277,NA,5.099,4.178,NA,9.277,NA
5268,2017,4039630,Jamie Nunley,TE,Arizona,Pac-12,8,1.397,1.397,NA,0.748,1.006,2.828,1.278,1.754,11.174,11.174,NA,1.495,4.023,5.656,7.665,3.509
5281,2017,3122103,Kendall Blanton,TE,Missouri,SEC,8,1.513,1.513,NA,-0.729,2.13,2.391,1.465,1.593,12.105,12.105,NA,-1.457,6.389,7.173,7.326,4.779
