,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
8522,2019,4361714,Josiah Johnson,TE,UMass,FBS Independents,56,0.072,0.003,0.971,-0.007,-0.013,0.009,0.001,0.174,4.032,0.15,3.882,-0.141,-0.26,0.124,0.024,4.008
8539,2019,4037124,Sean Riley,WR,Syracuse,ACC,56,0.081,0.117,-0.289,-0.077,0.296,0.058,0.066,0.105,4.533,5.977,-1.445,-1.851,5.626,0.758,2.318,2.215
8624,2019,4241145,Logan Wright,RB,Georgia Southern,Sun Belt,56,0.113,-0.747,0.161,-0.146,0.342,0.668,0.018,0.458,6.302,-2.24,8.542,-4.525,6.15,4.677,0.804,5.497
8778,2019,4361427,Ricky Slade,RB,Penn State,Big Ten,56,0.168,0.195,0.158,0.176,-0.271,0.786,0.217,0.054,9.381,2.731,6.65,4.739,-4.877,7.86,8.463,0.918
9309,2019,3722361,Akilian Butler,WR,Boise State,Mountain West,56,0.383,0.398,0.29,0.081,0.165,0.797,0.199,0.628,21.426,19.105,2.32,1.862,2.144,14.344,6.356,15.07
9354,2019,4240034,D.J. Matthews,WR,Florida State,ACC,56,0.405,0.456,-0.499,-0.212,0.588,0.919,-0.068,0.845,22.687,24.183,-1.496,-4.036,12.933,13.791,-1.831,24.518
9974,2019,3914151,Josiah Deguara,TE,Cincinnati,American Athletic,56,0.8,0.784,1.24,0.707,0.467,1.046,0.617,0.971,44.819,42.339,2.48,14.855,7.934,17.776,16.656,28.163
10032,2019,4258595,Cole Kmet,TE,Notre Dame,FBS Independents,56,0.861,0.879,-0.146,0.761,1.037,0.611,0.712,1.11,48.222,48.368,-0.146,16.747,20.744,7.945,24.916,23.306
201,2014,3125907,Arkeel Newsome,RB,Connecticut,American Athletic,55,0.083,0.809,-0.099,-0.209,0.236,1.867,-0.143,0.811,4.541,8.904,-4.363,-6.258,5.198,5.601,-5.998,10.539
649,2015,3126139,Anthony Scott,RB,East Carolina,American Athletic,55,0.001,-0.011,0.002,-0.206,-0.054,0.823,-0.032,0.132,0.06,-0.054,0.114,-5.771,-1.071,4.937,-1.393,1.454
899,2015,3915497,Romello Ross,RB,Central Michigan,Mid-American,55,0.241,0.529,0.16,0.194,0.13,0.689,0.304,0.037,13.247,6.351,6.896,5.629,2.722,2.757,12.766,0.48
1023,2015,3127306,Dante Pettis,WR,Washington,Pac-12,55,0.378,0.378,NA,0.06,0.416,1.16,-0.331,1.112,20.775,20.775,NA,0.962,8.323,18.562,-9.262,30.036
1045,2015,552698,Trent Bostick,WR,Charlotte,Conference USA,55,0.397,0.397,NA,0.245,1.436,0.154,0.414,0.337,21.827,21.827,NA,8.338,11.484,2.004,17.781,4.046
1070,2015,547591,Darren Andrews,WR,UCLA,Pac-12,55,0.427,0.427,NA,0.127,-0.001,1.98,0.22,0.889,23.472,23.472,NA,3.692,-0.015,19.795,8.362,15.11
1763,2016,4040655,Darnell Mooney,WR,Tulane,American Athletic,55,0.073,0.09,-0.142,-0.008,0.053,0.46,-0.07,0.289,4.026,4.595,-0.569,-0.162,1.118,5.519,-2.325,6.35
1908,2016,3917282,Keith Mixon,WR,Mississippi State,SEC,55,0.147,0.329,-0.071,-0.135,-0.034,1.378,-0.032,0.584,8.109,9.883,-1.774,-3.648,-0.643,12.4,-1.242,9.351
2065,2016,550655,Kani Benoit,RB,Oregon,Pac-12,55,0.239,0.287,0.235,-0.127,0.083,0.986,0.236,0.249,13.164,1.433,11.731,-3.426,1.24,10.841,9.425,3.739
2331,2016,552330,DaeSean Hamilton,WR,Penn State,Big Ten,55,0.42,0.451,-1.277,0.514,0.677,0.025,0.451,0.376,23.076,24.353,-1.277,9.774,12.869,0.433,14.423,8.653
2509,2016,3921652,Juwan Washington,RB,San Diego State,Mountain West,55,0.565,1.436,0.496,0.14,0.934,1.174,0.285,1.094,31.05,5.745,25.305,3.907,17.753,9.39,10.256,20.794
2619,2016,3699902,Stanley Morgan Jr.,WR,Nebraska,Big Ten,55,0.687,0.722,-1.161,0.188,0.578,1.05,0.27,1.035,37.811,38.972,-1.161,1.882,11.567,23.093,6.747,31.064
2688,2016,4039319,Antoine Porter,WR,Eastern Michigan,Mid-American,55,0.784,0.817,-1.003,0.37,1.074,0.857,0.598,1.236,43.109,44.111,-1.003,8.516,17.19,12.852,23.328,19.781
2758,2016,3123714,Blake Mack,TE,Arkansas State,Sun Belt,55,0.928,0.928,NA,0.179,1.337,0.71,0.768,1.093,51.017,51.017,NA,2.866,26.746,11.354,21.506,29.51
3339,2017,3912551,Aca'Cedric Ware,RB,USC,Pac-12,55,-0.028,0.517,-0.095,-0.05,-0.048,0.898,-0.046,0.097,-1.537,3.101,-4.637,-1.387,-0.917,5.391,-2.215,0.678
4028,2017,3115928,Malik Turner,WR,Illinois,Big Ten,55,0.248,0.248,NA,0.048,-0.111,0.52,-0.014,0.586,13.638,13.638,NA,1.015,-1.22,11.442,-0.43,14.068
4158,2017,553072,Melvin Vaughn,TE,Old Dominion,Conference USA,55,0.297,0.297,NA,-0.08,0.273,0.868,0.218,0.434,16.323,16.323,NA,-1.037,5.458,15.629,7.645,8.677
4358,2017,3916721,LeVante Bellamy,RB,Western Michigan,Mid-American,55,0.382,0.34,0.388,0.45,0.359,0.1,0.301,0.618,20.994,2.38,18.614,13.935,6.463,0.597,12.339,8.655
