"","season","id","name","position","team","conference","usage.overall","usage.pass","usage.rush","usage.firstDown","usage.secondDown","usage.thirdDown","usage.standardDowns","usage.passingDowns"
"97",2014,"550647","Gerard Wicks","RB","Washington State","Pac-12",0.0839,0.0292,0.3035,0.0960,0.0840,0.0590,0.1010,0.0470
"98",2014,"3125907","Arkeel Newsome","RB","Connecticut","American Athletic",0.0827,0.0329,0.1375,0.1045,0.1030,0.0210,0.0990,0.0540
"99",2014,"547302","Todd Macon","RB","Liberty","FBS Independents",0.0822,0.0143,0.1486,0.0896,0.1110,0.0320,0.0820,0.0820
"100",2014,"547172","Diocemy Saint Juste","RB","Hawai'i","Mountain West",0.0812,0.0072,0.1608,0.0772,0.1210,0.0480,0.0870,0.0720
"101",2014,"3127369","Josh Hicks","RB","Rutgers","Big Ten",0.0808,0.0027,0.1466,0.1114,0.0800,0.0240,0.1060,0.0270
"102",2014,"559594","Darrel Williams","RB","LSU","SEC",0.0798,0.0243,0.1097,0.0787,0.0830,0.0810,0.0890,0.0590
"103",2014,"3122607","Shay Fields","WR","Colorado","Pac-12",0.0779,0.1325,0.0095,0.0624,0.1040,0.0700,0.0690,0.0970
"104",2014,"3128721","Sony Michel","RB","Georgia","SEC",0.0772,0.0242,0.1132,0.0920,0.0840,0.0440,0.0850,0.0570
"105",2014,"3139602","D'Ernest Johnson","RB","South Florida","American Athletic",0.0761,0.0266,0.1333,0.0780,0.0950,0.0470,0.0760,0.0760
"106",2014,"3123996","Ervin Philips","WR","Syracuse","ACC",0.0754,0.0401,0.1151,0.1111,0.0720,0.0170,0.1030,0.0250
"107",2014,"549973","C.J. Duncan","WR","Vanderbilt","SEC",0.0747,0.1387,0.0084,0.0585,0.0570,0.1310,0.0660,0.0930
"108",2014,"545284","Austin Wilson","QB","Syracuse","ACC",0.0729,0.1253,0.0230,0.0497,0.0950,0.0860,0.0610,0.0950
"109",2014,"552126","Jordan Villamin","WR","Oregon State","Pac-12",0.0667,0.1149,0.0000,0.0528,0.0470,0.1250,0.0610,0.0780
"110",2014,"3139485","Justin Stockton","RB","Texas Tech","Big 12",0.0662,0.0219,0.1416,0.1086,0.0380,0.0240,0.0840,0.0280
"111",2014,"3122449","James Washington","WR","Oklahoma State","Big 12",0.0662,0.1366,0.0022,0.0605,0.0800,0.0630,0.0640,0.0690
"112",2014,"549802","Darius Tice","RB","South Florida","American Athletic",0.0639,0.0239,0.1101,0.0746,0.0700,0.0410,0.0670,0.0590
"113",2014,"554528","Nate Romine","QB","Air Force","Mountain West",0.0635,0.1476,0.0414,0.0556,0.0650,0.0750,0.0600,0.0720
"114",2014,"550814","Jacquille Veii","WR","Maryland","Big Ten",0.0610,0.0760,0.0460,0.0597,0.0730,0.0480,0.0540,0.0750
"115",2014,"550016","Jordan Wilkins","RB","Ole Miss","SEC",0.0610,0.0097,0.1156,0.0734,0.0490,0.0490,0.0760,0.0300
"116",2014,"3122842","Adam Choice","RB","Clemson","ACC",0.0607,0.0214,0.1000,0.0604,0.0530,0.0780,0.0660,0.0490
"117",2014,"545512","Kyle Hicks","RB","TCU","Big 12",0.0572,0.0243,0.0970,0.0649,0.0640,0.0370,0.0710,0.0260
"118",2014,"3124079","Cam Phillips","WR","Virginia Tech","ACC",0.0570,0.1017,0.0131,0.0462,0.0530,0.0880,0.0470,0.0770
"119",2014,"3126139","Anthony Scott","RB","East Carolina","American Athletic",0.0566,0.0093,0.1387,0.0646,0.0600,0.0380,0.0590,0.0510
"120",2014,"553072","Melvin Vaughn","TE","Old Dominion","Conference USA",0.0562,0.0958,0.0000,0.0450,0.0730,0.0530,0.0500,0.0710
"121",2014,"547542","Janarion Grant","WR","Rutgers","Big Ten",0.0558,0.1138,0.0109,0.0408,0.0400,0.1080,0.0450,0.0800
"122",2014,"3125232","Nick Bawden","FB","San Diego State","Mountain West",0.0544,0.1096,0.0146,0.0396,0.0500,0.0970,0.0450,0.0770
"123",2014,"546031","Kris White","WR","Kent State","Mid-American",0.0544,0.0863,0.0000,0.0510,0.0650,0.0540,0.0460,0.0690
"124",2014,"545962","Dijon Paschal","WR","Arkansas State","Sun Belt",0.0536,0.1151,0.0000,0.0520,0.0440,0.0740,0.0430,0.0740
"125",2014,"546882","Robert Lewis","WR","Washington State","Pac-12",0.0519,0.0660,0.0000,0.0603,0.0440,0.0430,0.0530,0.0500
"126",2014,"552782","Brogan Roback","QB","Eastern Michigan","Mid-American",0.0505,0.0921,0.0142,0.0455,0.0460,0.0720,0.0430,0.0660
"127",2014,"545840","Kyler Neal","RB","Georgia State","Sun Belt",0.0502,0.0094,0.1075,0.0610,0.0580,0.0200,0.0640,0.0240
"128",2014,"550993","Jacob Martinez","WR","Buffalo","Mid-American",0.0501,0.1011,0.0048,0.0349,0.0630,0.0700,0.0460,0.0610
"129",2014,"546404","Brandon Monroe","RB","San José State","Mountain West",0.0486,0.0049,0.0964,0.0608,0.0440,0.0410,0.0550,0.0350
"130",2014,"3126273","D'Angelo Brewer","RB","Tulsa","American Athletic",0.0473,0.0140,0.0866,0.0637,0.0360,0.0350,0.0570,0.0280
"131",2014,"551029","Romell Jordan","RB","New Mexico","Mountain West",0.0462,0.0065,0.0577,0.0414,0.0530,0.0350,0.0470,0.0440
"132",2014,"546222","Jake Roh","TE","Boise State","Mountain West",0.0460,0.1048,0.0000,0.0290,0.0550,0.0710,0.0430,0.0530
"133",2014,"3128774","Kalen Ballage","RB","Arizona State","Pac-12",0.0458,0.0071,0.0862,0.0510,0.0560,0.0110,0.0540,0.0290
"134",2014,"550340","Fransohn Bickley","WR","Akron","Mid-American",0.0456,0.0708,0.0061,0.0521,0.0490,0.0340,0.0470,0.0430
"135",2014,"3123075","Braxton Berrios","WR","Miami","ACC",0.0449,0.0923,0.0000,0.0323,0.0390,0.0760,0.0460,0.0430
"136",2014,"3139591","Quinton Flowers","QB","South Florida","American Athletic",0.0448,0.0532,0.0377,0.0407,0.0540,0.0470,0.0470,0.0420
"137",2014,"549512","Doroland Dorceus","RB","Memphis","American Athletic",0.0445,0.0024,0.0776,0.0454,0.0540,0.0290,0.0520,0.0280
"138",2014,"551153","Gregory Hogan","WR","New Mexico State","FBS Independents",0.0443,0.0882,0.0000,0.0321,0.0490,0.0620,0.0370,0.0580
"139",2014,"559559","Brandon Powell","WR","Florida","SEC",0.0442,0.0636,0.0328,0.0461,0.0560,0.0320,0.0500,0.0320
"140",2014,"3125992","Sam Martin","WR","Miami (OH)","Mid-American",0.0429,0.0696,0.0000,0.0333,0.0570,0.0430,0.0330,0.0600
"141",2014,"546345","Brice Ramsey","QB","Georgia","SEC",0.0426,0.1118,0.0000,0.0323,0.0400,0.0750,0.0350,0.0610
"142",2014,"3134305","Nate Starks","RB","UCLA","Pac-12",0.0411,0.0182,0.0638,0.0345,0.0500,0.0480,0.0370,0.0500
"143",2014,"3123992","Steve Ishmael","WR","Syracuse","ACC",0.0408,0.0827,0.0000,0.0322,0.0340,0.0690,0.0400,0.0420
"144",2014,"552937","Davon Grayson","WR","East Carolina","American Athletic",0.0403,0.0649,0.0000,0.0384,0.0480,0.0380,0.0380,0.0450
"145",2014,"546290","Kendal Keys","WR","UNLV","Mountain West",0.0402,0.0691,0.0049,0.0369,0.0380,0.0490,0.0350,0.0500
"146",2014,"549907","Darvin Kidsy","WR","North Texas","Conference USA",0.0400,0.0879,0.0000,0.0363,0.0340,0.0630,0.0330,0.0530
"147",2014,"3126329","Garrett Johnson","WR","Kentucky","SEC",0.0400,0.0794,0.0000,0.0365,0.0330,0.0610,0.0330,0.0520
"148",2014,"545518","Ty Slanina","WR","TCU","Big 12",0.0398,0.0748,0.0021,0.0325,0.0490,0.0470,0.0320,0.0580
"149",2014,"3121398","De'Mornay Pierson-El","WR","Nebraska","Big Ten",0.0398,0.0833,0.0110,0.0329,0.0430,0.0510,0.0370,0.0460
