Rk,Player,Year,Class,School,G,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD
813,La'Darren Brown,2018,SO,Oklahoma State,4,2,37,18.5,0
814,Brian Burt,2018,SR,Fresno State,1,2,24,12,0
815,Hakeem Butler,2018,JR,Iowa State,12,1,0,0,0
816,Treshawn Chamberlain,2018,FR,Rice,10,1,2,2,0
817,Sheldon Croney Jr.,2018,JR,Iowa State,9,1,17,17,0
818,Marcel Dancy,2018,JR,California,3,1,18,18,0
819,Zion Debose,2018,FR,Virginia Tech,3,1,10,10,0
820,Joel Dublanko,2018,SO,Cincinnati,11,2,24,12,0
821,Van Edwards Jr.,2018,SR,Akron,11,2,27,13.5,0
822,Berkley Edwards,2018,SR,Michigan,3,1,8,8,0
823,C'Bo Flemister,2018,FR,Notre Dame,2,3,65,21.7,0
824,Anthony Grant,2018,FR,Florida State,9,11,247,22.5,0
825,Darrien Grant,2018,FR,South Florida,1,1,2,2,0
826,Matt Guidry,2018,JR,Texas-San Antonio,10,21,495,23.6,0
827,Aaron Hackett,2018,SO,Syracuse,2,2,29,14.5,0
828,Matt Hadley,2018,SR,Brigham Young,10,4,70,17.5,0
829,Michael Harris III,2018,FR,San Jose State,4,2,26,13,0
830,Tim Hart,2018,SO,Memphis,11,2,25,12.5,0
831,Daiyan Henley,2018,SO,Nevada,7,5,111,22.2,0
832,Amare Jones,2018,FR,Tulane,11,18,488,27.1,0
833,Charles Jones,2018,SR,Tulane,8,1,8,8,0
834,Damian King,2018,SR,Liberty,3,2,40,20,0
835,Fotis Kokosioulis,2018,FR,Northern Illinois,6,9,151,16.8,0
836,Adarius Lemons,2018,SO,Florida,1,2,47,23.5,0
837,Lorenzo Lingard,2018,FR,Miami (FL),4,2,46,23,0
838,Austin Maloney,2018,JR,Florida International,10,8,149,18.6,0
839,Kyle Markway,2018,JR,South Carolina,5,4,16,4,0
840,Asa Martin,2018,FR,Auburn,5,1,18,18,0
841,Sean McGrew,2018,SO,Washington,10,5,99,19.8,0
842,Jake Molinich,2018,SO,Buffalo,3,2,10,5,0
843,Elijah Moore,2018,FR,Ole Miss,11,12,222,18.5,0
844,Tyson Morris,2018,FR,Arkansas,5,2,19,9.5,0
845,Brian Newman,2018,SR,Tulane,4,1,18,18,0
846,Ryan Newsome,2018,JR,Arizona State,4,2,29,14.5,0
847,Jamie Nunley,2018,SO,Arizona,3,2,4,2,0
848,Kene Nwangwu,2018,SO,Iowa State,12,22,587,26.7,0
849,Mason Plante,2018,JR,Navy,1,1,0,0,0
850,Amir Rasul,2018,JR,Florida State,6,3,31,10.3,0
851,Bryce Roberts,2018,SO,New Mexico State,7,1,0,0,0
852,Isaiah Rodgers,2018,JR,Massachusetts,10,5,101,20.2,0
853,Shawn Shamburger,2018,SO,Tennessee,8,2,42,21,0
854,Jo-El Shaw,2018,JR,Kent State,9,5,99,19.8,0
855,Bryce Singleton,2018,SO,Florida International,8,3,41,13.7,0
856,Kemah Siverand,2018,JR,Oklahoma State,5,1,0,0,0
857,Dylan Soehner,2018,SO,Iowa State,6,3,16,5.3,0
858,JD Spielman,2018,SO,Nebraska,10,8,169,21.1,0
859,Nate Stewart,2018,SO,Akron,8,2,43,21.5,0
860,Jack Stoll,2018,SO,Nebraska,10,2,16,8,0
861,Devin Thompkins,2018,FR,Utah State,9,1,20,20,0
862,Kadarius Toney,2018,SO,Florida,11,5,119,23.8,0
863,Britto Tutt,2018,JR,Arkansas,3,2,44,22,0
